text,label,emotion,cleaned_text,word_count,char_count,avg_word_length,capital_count,exclaim_count,question_count,negation_count
i seriously have no feeling when i got rejected in a sense i am neither happy sad or average,0,sadness,seriously no feeling rejected sense neither happy sad average,19,92,3.8947368421052633,0,0,0,1
i can stop feeling jealous,3,anger,stop feeling jealous,5,26,4.4,0,0,0,0
after my boyfriend and i had separated,0,sadness,after boyfriend separated,7,38,4.571428571428571,0,0,0,0
i feel so distraught and sad,4,fear,feel distraught sad,6,28,3.8333333333333335,0,0,0,0
i will always help others in any way i can but if you don t feel it within you to do the work and to finally learn to love yourself then my help and motivation will be in vain,0,sadness,always help others any way don feel within work finally learn love yourself help motivation vain,39,175,3.5128205128205128,0,0,0,0
i feel like the energy from the moon and the stars is just as vital both physically and emotionally as that from the sun,1,joy,feel like energy moon stars vital physically emotionally sun,24,120,4.041666666666667,0,0,0,0
i hear the name i feel loved,2,love,hear name feel loved,7,28,3.142857142857143,0,0,0,0
i went to bed feeling lousy,0,sadness,went bed feeling lousy,6,27,3.6666666666666665,0,0,0,0
i guess i feel that the things i wrote about were so petty and small that im kind of embarrassed to go back through them,3,anger,guess feel things wrote petty small im kind embarrassed go back,25,120,3.84,0,0,0,0
i don t expect you to feel sorry for me,0,sadness,don expect feel sorry,10,39,3.0,0,0,0,0
i am feeling well and happy with my progress,1,joy,feeling well happy progress,9,44,4.0,0,0,0,0
i am feeling blessed that i live in america have a wonderful family and that dorothy kelsey was a part of my life,2,love,feeling blessed live america wonderful family dorothy kelsey part life,23,113,3.9565217391304346,0,0,0,0
i feel very blessed with how easy this has been so far,1,joy,feel blessed easy far,12,54,3.5833333333333335,0,0,0,0
i just feel that anybody who is fully satisfied with what they are doing is never going to make any progress and sometimes feeling bad about feeling bad can act as a motivational tool,1,joy,feel anybody fully satisfied doing never going make any progress sometimes feeling bad feeling bad act motivational tool,34,183,4.411764705882353,0,0,0,1
i began to feel if i keep on supporting this system i became a part of the blood sucking everything for profit machinery,1,joy,began feel keep supporting system became part blood sucking everything profit machinery,23,120,4.260869565217392,0,0,0,0
im feeling quite pleased with myself i spent minutes on the cross trainer and then two lots of minutes on the vibration plate just to test out the programs of course,1,joy,im feeling quite pleased myself spent minutes cross trainer two lots minutes vibration plate test programs course,31,165,4.354838709677419,0,0,0,0
i feel so tortured,3,anger,feel tortured,4,18,3.75,0,0,0,0
i feel inside cause life is like a game sometimes but then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,0,sadness,feel inside cause life like game sometimes came around walls disappeared nothing surround keep fears im unprotected see ive opened oh youve made trust cause ive never felt like before im naked around show,56,284,4.089285714285714,0,0,0,1
i highly recommend not just this song but the band in general i know their sound might seem familiar girl rock sort of but i feel that their performances are very sincere and anyway their stuff is really good,1,joy,highly recommend not song band general know sound might seem familiar girl rock sort feel performances sincere anyway stuff good,39,208,4.358974358974359,0,0,0,1
im just feeling so lethargic,0,sadness,im feeling lethargic,5,28,4.8,0,0,0,0
im very much the opposite of it my cool is based on drinking and socializing without rememberiing meeting and trying to know people just to feel accepted for the first time in my life,2,love,im much opposite cool based drinking socializing without rememberiing meeting trying know people feel accepted first time life,34,183,4.411764705882353,0,0,0,0
i could feel the cool air marillac was like a giant residential freezer flow with more ease through the teeny extra hole in my right nostril,1,joy,feel cool air marillac like giant residential freezer flow ease teeny extra hole right nostril,26,140,4.423076923076923,0,0,0,0
i code existed for the sole purpose of making stupid people feel smart,1,joy,code existed sole purpose making stupid people feel smart,13,70,4.461538461538462,0,0,0,0
i feel sarcastic more often than not,3,anger,feel sarcastic often not,7,36,4.285714285714286,0,0,0,1
i feel is probably the most acceptable strategy to finding out historical past it does not imply by any means that it is the only method to study historical past we must always have this subject clear,1,joy,feel probably acceptable strategy finding historical past not imply any means only method study historical past must always subject clear,37,200,4.4324324324324325,0,0,0,1
i think the thing of it is that i feel like i get to be thankful more easily than a lot of people,1,joy,think thing feel like thankful easily lot people,23,97,3.260869565217391,0,0,0,0
i feel very peaceful when i look at it,1,joy,feel peaceful look,9,38,3.3333333333333335,0,0,0,0
im still feeling thankful and in that vein thought id celebrate blogging by sharing some moments experiences from this fall that i am grateful for,1,joy,im still feeling thankful vein thought id celebrate blogging sharing moments experiences fall grateful,25,146,4.88,0,0,0,0
im not feeling violent im feeling creative with weapons,3,anger,im not feeling violent im feeling creative weapons,9,55,5.222222222222222,0,0,0,1
i feel overwhelmed in a good way,4,fear,feel overwhelmed good way,7,32,3.7142857142857144,0,0,0,0
i don t feel gloomy about it despite losing my journalism gig last march,0,sadness,don feel gloomy despite losing journalism gig last march,14,72,4.214285714285714,0,0,0,0
i still feel groggy and my stomach is still cramping and im still bleeding from the biopsies i feel like ive been given an opportunity,0,sadness,still feel groggy stomach still cramping im still bleeding biopsies feel like ive given opportunity,25,134,4.4,0,0,0,0
im skipping floors one and four because theyre two of the most conventional feeling and quite frankly boring maps in the game for me,0,sadness,im skipping floors one four because theyre two conventional feeling quite frankly boring maps game,24,132,4.541666666666667,0,0,0,0
i would rather take my chances on keeping my heart and getting it broken again and again then to stop feeling to stop caring to be bitter cross cynical,2,love,rather take chances keeping heart getting broken stop feeling stop caring bitter cross cynical,29,151,4.241379310344827,0,0,0,0
i feel like a hot mess,2,love,feel like hot mess,6,22,2.8333333333333335,0,0,0,0
i just try not to talk to anyone when i feel irritable like that,3,anger,try not talk anyone feel irritable like,14,64,3.642857142857143,0,0,0,1
i feel i am a rejected child,0,sadness,feel rejected child,7,28,3.142857142857143,0,0,0,0
i havent been measuring out food drinking nearly enough water tracking any fitness and overall i feel completely shaken and unfocused because i dont feel like my foundation is steady at the moment,4,fear,havent measuring food drinking nearly enough water tracking any fitness overall feel completely shaken unfocused because dont feel like foundation steady moment,33,196,4.96969696969697,0,0,0,0
i really am feeling so impatient,3,anger,feeling impatient,6,32,4.5,0,0,0,0
i suggest before you begin you take some time to reflect on your relationships and understand what specifically makes you feel valued and loved and what makes you feel insecure and unnecessary,1,joy,suggest before begin take time reflect relationships understand specifically makes feel valued loved makes feel insecure unnecessary,32,192,5.03125,0,0,0,0
i do my yoga i open up feel tender two hours later i m nicely swaddled up again happily wrapping layer upon layer over it out of my well meaning habit,2,love,yoga open feel tender two hours later m nicely swaddled happily wrapping layer upon layer over well meaning habit,31,150,3.870967741935484,0,0,0,0
i feel woefully inadequate lost and fearful he will do whatever needs to be done,0,sadness,feel woefully inadequate lost fearful whatever needs done,15,80,4.4,0,0,0,0
i don t a feel like an idiot and b not get illogically mad at people for going to bed too early sorry for the anger family,3,anger,don feel like idiot b not illogically mad people going bed early sorry anger family,27,122,3.5555555555555554,0,0,0,1
ive been feeling a bit nostalgic ever since i went through a box of my dads old pictures for a post i did for a href http mysalvagedtreasures,2,love,ive feeling bit nostalgic ever since went box dads old pictures post href http mysalvagedtreasures,28,141,4.071428571428571,0,0,0,0
i feel troubled by his hunger and his homelessness,0,sadness,feel troubled hunger homelessness,9,50,4.666666666666667,0,0,0,0
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,3,anger,feel tortured looking lecture notes nothing going except holiday plans,21,105,4.0476190476190474,0,0,0,0
i see but i feel confused by all about you lately,4,fear,see feel confused lately,11,49,3.5454545454545454,0,0,0,0
i came to a theory whereby even if you feel that you do not want to hear the truth in the end you would have to face it for my case i had to read it which was a remorseful feeling for me,0,sadness,came theory whereby even feel not want hear truth end face case read remorseful feeling,43,186,3.3488372093023258,0,0,0,1
i feel threatened or anxious i become numb and detatched from my emotions and environment,4,fear,feel threatened anxious become numb detatched emotions environment,15,89,5.0,0,0,0,0
i cant tell you the joy i was feeling as i held my now calm son,1,joy,cant tell joy feeling held calm son,16,63,3.0,0,0,0,0
i am so grateful for that today and feel very blessed to have two grandsons right now,1,joy,grateful today feel blessed two grandsons right,17,85,4.0588235294117645,0,0,0,0
i say walking away and shaking my head feeling a little dazed to get the drinks,5,surprise,say walking away shaking head feeling little dazed drinks,16,79,4.0,0,0,0,0
i feel determined to do well for my mother tongue paper that will be here in odd days time,1,joy,feel determined well mother tongue paper odd days time,19,90,3.789473684210526,0,0,0,0
when my application for studying the masters degree was accepted,1,joy,application studying masters degree accepted,10,64,5.5,0,0,0,0
i feel like that s the thing that happened with my dad i was too stubbornly loyal to let him dump me like a rotten piece of food,2,love,feel like thing happened dad stubbornly loyal let dump like rotten piece food,28,128,3.607142857142857,0,0,0,0
i feel slightly pained and jolted like frozen toes thawing out after a long afternoon of sledding in the snow,0,sadness,feel slightly pained jolted like frozen toes thawing after long afternoon sledding snow,20,109,4.5,0,0,0,0
i feel like all she wants is his parents fortune which is unfortunate,0,sadness,feel like wants parents fortune unfortunate,13,69,4.384615384615385,0,0,0,0
i feel like a person who tortured somebody because i like to see the fans confused and embarrassed at the same time,4,fear,feel like person tortured somebody because like see fans confused embarrassed same time,22,115,4.2727272727272725,0,0,0,0
i want to capture this feeling and put it into words so i can again gain the sweet taste in my mouth right now,2,love,want capture feeling put words gain sweet taste mouth right,24,110,3.625,0,0,0,0
i don t know how i feel about this but i am beyond thrilled that the fall show will happen in paris,1,joy,don know feel beyond thrilled fall show happen paris,22,99,3.5454545454545454,0,0,0,0
i still feel a little bit funny when i discover his fb damn it,5,surprise,still feel little bit funny discover fb damn,14,62,3.5,0,0,0,0
i feel horrible again today,0,sadness,feel horrible today,5,27,4.6,0,0,0,0
i might go out of existance i smile pick up my pen and fill the page with the things that you say the thoughts you obtain the moments you refrain far away its cause youre going insane and suddenly im left afraid because im not feeling that way instead im amazed why you gotta be that way,5,surprise,might go existance smile pick pen fill page things say thoughts obtain moments refrain far away cause youre going insane suddenly im left afraid because im not feeling way instead im amazed why gotta way,57,287,4.052631578947368,0,0,0,1
i am new to this forum and i wish to have extended friends and acquaintances here as i feel this is quite a friendly forum,1,joy,new forum wish extended friends acquaintances feel quite friendly forum,25,122,3.92,0,0,0,0
i feel guilty after i do these things,0,sadness,feel guilty after things,8,37,3.75,0,0,0,0
i also feel it is worth mentioning that makin it rain may be acceptable at a strip club but not at your local cineplex,1,joy,feel worth mentioning makin rain may acceptable strip club not local cineplex,24,118,3.9583333333333335,0,0,0,1
i think they feel somehow offended because the christians played a big part in destroying the earlier cultures religions and mythologies,3,anger,think feel somehow offended because christians played big part destroying earlier cultures religions mythologies,21,136,5.523809523809524,0,0,0,0
i feel quite photographically lethargic and drained its difficult to explain but im really happy my school semester is coming to an end,0,sadness,feel quite photographically lethargic drained difficult explain im happy school semester coming end,23,135,4.913043478260869,0,0,0,0
i kept feeling love for the divine and others who were there with me my crew fellow runners volunteers passersby,1,joy,kept feeling love divine others crew fellow runners volunteers passersby,20,112,4.65,0,0,0,0
i did on weekends was sleep and feel bitter about the world,3,anger,weekends sleep feel bitter world,12,59,4.0,0,0,0,0
i didnt feel disheartened,0,sadness,didnt feel disheartened,4,25,5.5,0,0,0,0
i know it seems strange writing to you after all this time and i honestly feel appalled at my behavior as a mother,3,anger,know seems strange writing after time honestly feel appalled behavior mother,23,114,4.0,0,0,0,0
i feel a little overwhelmed this weekend i went out to the beach and just stood in the surf watching listening and feeling the waves come in and out,5,surprise,feel little overwhelmed weekend went beach stood surf watching listening feeling waves come,29,148,4.137931034482759,0,0,0,0
im just feeling really shitty about life in general now that i want to just write continuously,0,sadness,im feeling shitty life general want write continuously,17,94,4.588235294117647,0,0,0,0
im always being afraid how the students really feel boring hard to understand or satisfied,0,sadness,im always afraid students feel boring hard understand satisfied,15,90,5.066666666666666,0,0,0,0
i also find that if youre feeling cold then get out the broom and scrubbing brush some vinegar and old newspapers and give the house a going over,3,anger,find youre feeling cold broom scrubbing brush vinegar old newspapers give house going over,28,145,4.214285714285714,0,0,0,0
im feeling mellow and am enjoying the cooler weather,1,joy,im feeling mellow enjoying cooler weather,9,52,4.888888888888889,0,0,0,0
i went to the church function instead feeling pretty lame,0,sadness,went church function instead feeling pretty lame,10,57,4.8,0,0,0,0
im feeling so so insecure,4,fear,im feeling insecure,5,25,4.2,0,0,0,0
i could give it away but im feeling greedy at the moment,3,anger,give away im feeling greedy moment,12,56,3.75,0,0,0,0
i have been feeling very shaky and weak and light headed starting from yesterday and this morning when i woke up i couldn t breathe properly no matter how many deep breaths i took in i just felt there just wasn t enough oxygen going in,4,fear,feeling shaky weak light headed starting yesterday morning woke couldn breathe properly no matter many deep breaths took felt wasn enough oxygen going,46,235,4.130434782608695,0,0,0,1
i may also voice my feelings on a few things here and there if you dont agree with them cool and please do feel free to let me know,1,joy,may voice feelings few things dont agree cool please feel free let know,29,131,3.5517241379310347,0,0,0,0
i feel like a less melancholy holden caulfield,0,sadness,feel like less melancholy holden caulfield,8,46,4.875,0,0,0,0
i feel like i have been learning through the job transition and now through this ordeal is how precious it is when someone asks or cares about what we are going through,1,joy,feel like learning job transition ordeal precious someone asks cares going,32,168,4.28125,0,0,0,0
i couldnt help but feel a little curious about it though which is what finally led me to plan to rent it this evening,5,surprise,couldnt help feel little curious though finally led plan rent evening,24,117,3.9166666666666665,0,0,0,0
i understand feeling fond of a toilet it s one of my favourite places in the house but seriously is our daughter more enamoured with the porcelain throne than with us,2,love,understand feeling fond toilet one favourite places house seriously daughter enamoured porcelain throne,31,166,4.387096774193548,0,0,0,0
im feeling a little lost at the moment amp a little low to boot,0,sadness,im feeling little lost moment amp little low boot,14,63,3.5714285714285716,0,0,0,0
i feel a gentle tap on my shoulder,2,love,feel gentle tap shoulder,8,34,3.375,0,0,0,0
i still feel happy whenever i think of that,1,joy,still feel happy whenever think,9,43,3.888888888888889,0,0,0,0
i feel a bit surprised that motion capture films dont seem to me to have the visual richness and detail that full cgi films have,5,surprise,feel bit surprised motion capture films dont seem visual richness detail full cgi films,25,128,4.16,0,0,0,0
i feel for her i am glad that it was a starter that allowed us to interact and be what we are today,1,joy,feel glad starter allowed interact today,23,99,3.347826086956522,0,0,0,0
i was feeling pretty hateful towards my refrigerator as i cleaned it,3,anger,feeling pretty hateful towards refrigerator cleaned,12,68,4.75,0,0,0,0
i feel like i dont have anything worthwhile to blog about so im continuing to blog about things that i used to when i wasnt married,1,joy,feel like dont anything worthwhile blog im continuing blog things used wasnt married,26,131,4.076923076923077,0,0,0,0
i used to always feel jealous about most things they received from compliments to some valuable stuffs,3,anger,used always feel jealous things received compliments valuable stuffs,17,102,5.0588235294117645,0,0,0,0
i feel funny cause bonka neva thanked me fa his awards,5,surprise,feel funny cause bonka neva thanked fa awards,11,54,4.0,0,0,0,0
i feel slightly disturbed by the whole thing,0,sadness,feel slightly disturbed whole thing,8,44,4.625,0,0,0,0
i was feeling and how rich we are,1,joy,feeling rich,8,33,3.25,0,0,0,0
i practice being present and living in the now i feel content appreciative relaxed and satisfied,1,joy,practice present living feel content appreciative relaxed satisfied,16,96,5.0625,0,0,0,0
i might push myself little too hard sometimes to feel better but there is no one else out there to do that for me,1,joy,might push myself little hard sometimes feel better no one else,24,113,3.75,0,0,0,1
i feel hesitant unsure doubtful of myself,4,fear,feel hesitant unsure doubtful myself,7,41,5.0,0,0,0,0
i feel proud that illinois is a little ahead,1,joy,feel proud illinois little ahead,9,44,4.0,0,0,0,0
i am a very generous person in that i give quality time and make people feel special,1,joy,generous person give quality time make people feel special,17,84,4.0,0,0,0,0
i can pass test two this time round ill feel much better about the main exams in may next year,1,joy,pass test two time round ill feel much better main exams may next year,20,94,3.75,0,0,0,0
i didnt feel that i had very much to be thankful for,1,joy,didnt feel much thankful,12,52,3.4166666666666665,0,0,0,0
i feel so horrendously ugly these days,0,sadness,feel horrendously ugly days,7,38,4.571428571428571,0,0,0,0
i like my guests to feel like they are staying in an elegant pristine boutique hotel,1,joy,like guests feel like staying elegant pristine boutique hotel,16,84,4.3125,0,0,0,0
i dont want this blog to be too similar to many others but i may occasionally post a picture of something i feel is an accomplishment or something i am proud of,1,joy,dont want blog similar many others may occasionally post picture something feel accomplishment something proud,32,160,4.03125,0,0,0,0
i appreciate the convenience and peace of mind this program affords young struggling families i feel like its abused on both ends,0,sadness,appreciate convenience peace mind program affords young struggling families feel like abused ends,22,129,4.909090909090909,0,0,0,0
i have decided that i want to go to school for mortuary science ok ok i know playing with dead people is morbid but lets face it this is something we will have to deal with one day and i feel as though i am intelligent enough to do it as well as compasionate to be there for greiving families,1,joy,decided want go school mortuary science ok ok know playing dead people morbid lets face something deal one day feel though intelligent enough well compasionate greiving families,60,292,3.8833333333333333,0,0,0,0
i feel in order to be successful in your own life you need to further your education,1,joy,feel order successful own life need further education,17,84,4.0,0,0,0,0
im feeling a little overwhelmed,5,surprise,im feeling little overwhelmed,5,31,5.4,0,0,0,0
i can t decide whether to go with low hung or low slung feel free to leave a preference in comments and i m aware i ve now moved on from death to embalming,1,joy,decide whether go low hung low slung feel free leave preference comments m aware ve moved death embalming,34,155,3.588235294117647,0,0,0,0
i was still feeling optimistic at this point,1,joy,still feeling optimistic point,8,44,4.625,0,0,0,0
i notice i jump when i feel anything in my hair which i cant say im surprised about,5,surprise,notice jump feel anything hair cant say im surprised,18,83,3.6666666666666665,0,0,0,0
i know it s kind of funny that i m feeling hesitant about making fashion from something we use to scent our clothes but it does worry me a bit,4,fear,know kind funny m feeling hesitant making fashion something use scent clothes worry bit,30,142,3.7666666666666666,0,0,0,0
i wouldnt have thought that id be feeling this way but i feel amazing and am glad for what happened,1,joy,wouldnt thought id feeling way feel amazing glad happened,20,99,4.0,0,0,0,0
i walk around the farm i always feel so peaceful i end up smiling from the sheer beauty and rightness of everything,1,joy,walk around farm always feel peaceful end smiling sheer beauty rightness everything,22,115,4.2727272727272725,0,0,0,0
i seriously still feel so insecure and dreadful that the new guy would suddenly pop back up and change things,4,fear,seriously still feel insecure dreadful new guy suddenly pop back change things,20,109,4.5,0,0,0,0
i feel like when you re passionate about something it s okay to be vocal about it as well,1,joy,feel like re passionate something okay vocal well,19,89,3.736842105263158,0,0,0,0
i am feeling cautiously optimistic about dragon age mbourgon honestly yes it has flaws,1,joy,feeling cautiously optimistic dragon age mbourgon honestly yes flaws,14,86,5.214285714285714,0,0,0,0
i think many may dislike it as i do and still feel they should be impressed by it the educated and privileged may now be more susceptible to the mass media than the larger public they re certainly easier to reach,5,surprise,think many may dislike still feel impressed educated privileged may susceptible mass media larger public re certainly easier reach,41,212,4.195121951219512,0,0,0,0
i just feel he was another dumb character that deserved to get killed,0,sadness,feel another dumb character deserved killed,13,69,4.384615384615385,0,0,0,0
i have a great family and i feel as if she has missed a great deal by not electing to meet them,0,sadness,great family feel missed great deal not electing meet,22,95,3.3636363636363638,0,0,0,1
i feel for them supporting a team that has traded a musical chairs management rotation for no proper manager at all,2,love,feel supporting team traded musical chairs management rotation no proper manager,21,115,4.523809523809524,0,0,0,1
i should feel contented with what ive now,1,joy,feel contented ive,8,41,4.25,0,0,0,0
i bet almost each of us though once in their life ever had this kind of feeling called jealous,3,anger,bet almost though life ever kind feeling called jealous,19,94,4.0,0,0,0,0
i feel very dissatisfied with myself,3,anger,feel dissatisfied myself,6,36,5.166666666666667,0,0,0,0
i still have cramps plus i get really dizzy when i stand up and my whole body is aching and i just generally feel extremely uncomfortable,4,fear,still cramps plus dizzy stand whole body aching generally feel extremely uncomfortable,26,137,4.3076923076923075,0,0,0,0
i love that i get to dress up and feel glamorous once a year,1,joy,love dress feel glamorous year,14,60,3.357142857142857,0,0,0,0
i am in caretaker mode i feel disillusioned with the computer,0,sadness,caretaker mode feel disillusioned computer,11,61,4.636363636363637,0,0,0,0
i feel crappy so i don t run which makes me feel more crappy and so on and so on,0,sadness,feel crappy don run makes feel crappy,20,80,3.05,0,0,0,0
i was feeling nostalgic and celebratory,2,love,feeling nostalgic celebratory,6,39,5.666666666666667,0,0,0,0
i know how you feel and im gona try to decribe what i went through as humorous as i possibly can,1,joy,know feel im gona try decribe went humorous possibly,21,96,3.619047619047619,0,0,0,0
i seem down its probably because i feel a bit defeated,0,sadness,seem probably because feel bit defeated,11,54,4.0,0,0,0,0
i hate feeling like im not strong,1,joy,hate feeling like im not strong,7,33,3.857142857142857,0,0,0,1
i feel eager to begin and excited at the prospect of the personal growth and deepening of my relationship with christ which i expect to see over the course of the next days,1,joy,feel eager begin excited prospect personal growth deepening relationship christ expect see over course next days,33,172,4.242424242424242,0,0,0,0
ive suffered from eating disorders and depression since i was and i feel amazed to say that i consider myself recovered now,5,surprise,ive suffered eating disorders depression since feel amazed say consider myself recovered,22,123,4.636363636363637,0,0,0,0
i feel contented like i do now i feel i had to put this feeling down in words,1,joy,feel contented like feel put feeling words,18,77,3.3333333333333335,0,0,0,0
i woke up feeling crappy headache sore throat congestion but emotionally calm,0,sadness,woke feeling crappy headache sore throat congestion emotionally calm,12,77,5.5,0,0,0,0
i told him that what he did was very stupid or talked down yelled at him he would feel very unloved,0,sadness,told stupid talked yelled feel unloved,21,99,3.761904761904762,0,0,0,0
i feel like people always say when im rich ill do this or when i get a record deal ill be happy fuck that,1,joy,feel like people always say im rich ill record deal ill happy fuck,24,105,3.4166666666666665,0,0,0,0
i can guarantee that mondays won t feel half as dull when you prepare yourself for them with an enchanting sunday filled with good food big smiles and simple pleasures,0,sadness,guarantee mondays won feel half dull prepare yourself enchanting sunday filled good food big smiles simple pleasures,30,167,4.6,0,0,0,0
i among other things it was one of those days when i got up feeling low,0,sadness,among things one days feeling low,16,71,3.5,0,0,0,0
i not feeling as melancholy as i was the other day,0,sadness,not feeling melancholy day,11,50,3.6363636363636362,0,0,0,1
i finally admit im feeling sorry for myself evar ok i finally admit im feeling sorry for myself if bc,0,sadness,finally admit im feeling sorry myself evar ok finally admit im feeling sorry myself bc,20,101,4.1,0,0,0,0
im feeling bitter towards them god,3,anger,im feeling bitter towards god,6,34,4.833333333333333,0,0,0,0
i can feel your heartbeat with each desire longing to be core to core centered and totally together,2,love,feel heartbeat desire longing core core centered totally together,18,99,4.555555555555555,0,0,0,0
i attended a free individual academic consultation which has helped me manage my time efficiently so i can fit my classwork activities and social life all in one day without feeling completely stressed out,0,sadness,attended free individual academic consultation helped manage time efficiently fit classwork activities social life one day without feeling completely stressed,34,205,5.0588235294117645,0,0,0,0
i buy a glamorous dress i might feel like a glamorous person dittmar explained,1,joy,buy glamorous dress might feel like glamorous person dittmar explained,14,78,4.642857142857143,0,0,0,0
i don t think that woman ever feels generous because she is too busy dying of love,1,joy,don think woman ever feels generous because busy dying love,17,82,3.8823529411764706,0,0,0,0
im feeling a little more convinced,1,joy,im feeling little convinced,6,34,4.833333333333333,0,0,0,0
im feeling pretty contented too having an instructor to assist me with higher level math again for a while is very helpful,1,joy,im feeling pretty contented having instructor assist higher level math while helpful,22,122,4.590909090909091,0,0,0,0
i feel selfish on the days i dont feel well and want to be left alone in my misery,3,anger,feel selfish days dont feel well want left alone misery,19,82,3.3684210526315788,0,0,0,0
i smiled feeling my grandmothers presence in her sweet british accent,2,love,smiled feeling grandmothers presence sweet british accent,11,69,5.363636363636363,0,0,0,0
i did kind of feel bad for him,0,sadness,kind feel bad,8,30,2.875,0,0,0,0
i feeling distressed,4,fear,feeling distressed,3,20,6.0,0,0,0,0
i am a down to earth person and say what i feel very affectionate,2,love,earth person say feel affectionate,14,65,3.7142857142857144,0,0,0,0
i feel hot i drank some cold drink or find some ice dessert such as chendol or ice kacang,2,love,feel hot drank cold drink find ice dessert such chendol ice kacang,19,89,3.736842105263158,0,0,0,0
i feel that one has to be passionate but not tensed,1,joy,feel one passionate not tensed,11,51,3.727272727272727,0,0,0,1
i have spoken to are so pleased with the facilities often feeling really valued for the first time with their needs being properly recognised and properly met,1,joy,spoken pleased facilities often feeling valued first time needs properly recognised properly met,27,158,4.888888888888889,0,0,0,0
i am thankful for my family and i ll write a post on that at some point too but really i just want to feel thankful for my jobs that i have now,1,joy,thankful family ll write post point want feel thankful jobs,33,143,3.3636363636363638,0,0,0,0
im feeling really contented by myself because i havent spent a single cent for the past days,1,joy,im feeling contented myself because havent spent single cent past days,17,92,4.470588235294118,0,0,0,0
i had a feeling you were being sarcastic but ivspirit a href http translatethis,3,anger,feeling sarcastic ivspirit href http translatethis,14,79,4.714285714285714,0,0,0,0
i feel pretty pathetic as an intercessor,0,sadness,feel pretty pathetic intercessor,7,40,4.857142857142857,0,0,0,0
i guess im feeling pretty mellow these days,1,joy,guess im feeling pretty mellow days,8,43,4.5,0,0,0,0
i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b,3,anger,gotta feeling da bul taewuhbeoryeo burn gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo away woooo becuz m cuz m dangerous b,32,172,4.40625,0,0,0,0
i feel very isolated from my family so it is really important to me to meet people,0,sadness,feel isolated family important meet people,17,82,3.8823529411764706,0,0,0,0
i think i m also feeling restless,4,fear,think m feeling restless,7,33,3.857142857142857,0,0,0,0
im feeling very bitter against knight in shining denim because i asked him a year ago to go to the gym with me and he wouldnt spend the money,3,anger,im feeling bitter against knight shining denim because asked year ago go gym wouldnt spend money,29,141,3.896551724137931,0,0,0,0
i need instead to focus on feeling that ecstatic feeling to make phone calls without being attached to outcomes amp believe that the money to move will come without wondering exactly how or where or when,1,joy,need instead focus feeling ecstatic feeling make phone calls without attached outcomes amp believe money move come without wondering exactly,36,203,4.666666666666667,0,0,0,0
i go to bed feeling very distraught otherwise,4,fear,go bed feeling distraught otherwise,8,45,4.75,0,0,0,0
i still feel disappointed though,0,sadness,still feel disappointed though,5,32,5.6,0,0,0,0
ive been feeling super run down all morning and debated whether or not to leave my usual closed for business type illness post,1,joy,ive feeling super run morning debated whether not leave usual closed business type illness post,23,126,4.521739130434782,0,0,0,1
i mean great food that holds wonderful memories and will make me feel good when i have it,1,joy,mean great food holds wonderful memories make feel good,18,89,4.0,0,0,0,0
i feel weirdly thrilled by that,1,joy,feel weirdly thrilled,6,31,4.333333333333333,0,0,0,0
i remember going to shandur the highest polo ground in the world located in north western pakistan and feeling helpless because there were no signals there and i couldn t post my facebook status or tweet about the marvelous surroundings,0,sadness,remember going shandur highest polo ground world located north western pakistan feeling helpless because no signals couldn post facebook status tweet marvelous surroundings,40,236,4.925,0,0,0,1
when i learnt that i had been admitted to the university,1,joy,learnt admitted university,11,56,4.181818181818182,0,0,0,0
im feeling clever right now so if anyone attempts to burst my bubble ill just have to burst yours right back by telling your children that you know who is not real,1,joy,im feeling clever right anyone attempts burst bubble ill burst yours right back telling children know not real,32,163,4.125,0,0,0,1
i feel that the names also reflect on the person as to how dignified it comes together or not dudley dursley cornelius fudge minerva mcgonnagall neville longbottom peter pettigrew oliver wood,1,joy,feel names reflect person dignified comes together not dudley dursley cornelius fudge minerva mcgonnagall neville longbottom peter pettigrew oliver wood,31,191,5.193548387096774,0,0,0,1
i sit here feeling blank about this,0,sadness,sit feeling blank,7,35,4.142857142857143,0,0,0,0
i been left alone this is how i feel a kind of sweet song for me but the official video clip for this song is quite annoying,1,joy,left alone feel kind sweet song official video clip song quite annoying,27,124,3.6296296296296298,0,0,0,0
i feel so paranoid and im really gonna cut down the hours and frequencies of me wearing contact lenses,4,fear,feel paranoid im gonna cut hours frequencies wearing contact lenses,19,102,4.421052631578948,0,0,0,0
i honestly feel a little bit relieved,1,joy,honestly feel little bit relieved,7,37,4.428571428571429,0,0,0,0
im hoping theyll like this new draft better this time so that i wont end up feeling as devastated as i did the last time i turned in a draft i was devastated because a href http neuroticworkaholic,0,sadness,im hoping theyll like new draft better time wont end feeling devastated last time turned draft devastated because href http neuroticworkaholic,38,196,4.184210526315789,0,0,0,0
